rosbagTimestamp,x,y,z,r,p,q,joint1,joint2,joint3,joint4
639873000000,2.11823916435,-2.45833659172,0.962310612202,0.00531267442304,0.00774706791789,-2.95763261845E-05,0.472731709242,-0.0816615925832,1.52481189072,-1.44315074362
639974000000,2.1183359623,-2.45513176918,0.959338724613,0.00612804784103,0.00907489419617,0.000126093889519,0.472731709014,-0.0816615929095,1.52481189086,-1.44315072687
640075000000,2.11764717102,-2.45321321487,0.957577168941,0.0092244611095,0.00944076414425,8.58599699233E-05,0.472731709216,-0.0816615916251,1.52481189074,-1.44315077687
640174000000,2.11644625664,-2.45306611061,0.957246482372,0.00965473645751,0.00962673277326,-3.08266062322E-05,0.47273170918,-0.0816615935718,1.52481189091,-1.4431507023
640273000000,2.11593270302,-2.45286631584,0.955776393414,0.0091502992257,0.00917343266488,-6.88781212465E-05,0.472731709128,-0.0816615939674,1.52481189096,-1.44315068774
640373000000,2.1171605587,-2.45105361938,0.95067858696,0.00858219407329,0.00838899316656,0.00028938982154,0.472731709054,-0.0816615941034,1.52481189111,-1.44315067719
640479000000,2.1176378727,-2.45109176636,0.948197007179,0.0090662102099,0.00771746376116,8.29484490767E-05,0.472731709228,-0.0816615927654,1.52481189096,-1.44315073142
640573000000,2.11743116379,-2.45234894753,0.947702288628,0.00903354621161,0.00712899323603,0.000128381103251,0.472731709087,-0.0816615943786,1.52481189106,-1.44315067155
640673000000,2.11665797234,-2.45380187035,0.948381483555,0.00913104467366,0.00786878934554,0.000107492212458,0.472731709145,-0.0816615937067,1.52481189088,-1.44315070387
640773000000,2.11750435829,-2.45321154594,0.943008542061,0.00899961125098,0.00952374985421,0.000148899379365,0.472731709106,-0.0816615932077,1.52481189094,-1.44315071799
640874000000,2.11705374718,-2.45449900627,0.940809309483,0.00876264310303,0.00990861079893,9.15461936374E-05,0.47273170912,-0.0816615926428,1.52481189089,-1.44315073985
640973000000,2.11645936966,-2.45619940758,0.940561890602,0.00832123005601,0.0100904912379,-0.000122983030738,0.472731709009,-0.0816615938255,1.52481189091,-1.44315070082
641073000000,2.11641979218,-2.4586725235,0.938014566898,0.00765867990238,0.00872977336035,-0.000428507601455,0.472731709196,-0.0816615943735,1.5248118911,-1.4431506726
641173000000,2.11712026596,-2.45936965942,0.934167981148,0.00735517441963,0.00859740033175,-0.000629507986785,0.472731709333,-0.0816615925581,1.52481189106,-1.44315073475
